[0, -0.037, 0, 0, 0, 0, 0]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2), np.float64(-0.037), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2006435171992672), np.float64(-0.036999999999999984), np.float64(0.0033633217993079586), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.2024906981477712), np.float64(-0.037), np.float64(0.00639446366782007), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.20541648687156527), np.float64(-0.03700000000000001), np.float64(0.009093425605536333), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
